ticker_symbol,security,gics_sector,gics_sub_industry,address_of_headquarters,date_first_added
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",2008-11-14
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,"Santa Monica, California",2015-08-31
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",2016-05-03
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",1997-05-05
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",2015-07-09
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",2008-11-15
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",1976-06-30
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",2014-07-01
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",2008-11-16
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",2008-11-17
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",2007-07-12
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",2016-05-13
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",2016-07-01
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",2012-05-25
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland",2008-11-18
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",2013-12-23
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",2008-11-19
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,"Mountain View, California",2014-04-03
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,"Mountain View, California",2008-11-20
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",2008-11-21
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18
AEE,Ameren Corp,Utilities,MultiUtilities,"St. Louis, Missouri",1991-09-19
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",2015-03-23
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",2008-11-22
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",1976-06-30
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",1980-03-31
AMT,American Tower Corp A,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Voorhees, New Jersey",2016-03-04
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2008-11-23
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2008-11-24
AME,AMETEK Inc,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23
AMGN,Amgen Inc,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",2008-11-25
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",2008-11-26
ANTM,Anthem Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana",2008-11-27
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",2008-11-28
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-11-29
AIV,Apartment Investment & Mgmt,Real Estate,REITs,"Denver, Colorado",2008-11-30
AAPL,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",1982-11-30
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,"Santa Clara, California",2008-12-01
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",1981-07-29
ARNC,Arconic Inc,Industrials,Aerospace & Defense,"New York, New York",1964-03-31
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",2016-05-31
AIZ,Assurant Inc,Financials,Multi-line Insurance,"New York, New York",2007-04-10
T,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services,"Dallas, Texas",1983-11-30
ADSK,Autodesk Inc,Information Technology,Application Software,"San Rafael, California",1989-12-01
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey",1981-03-31
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",2008-12-02
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",2008-12-03
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[3]",2007-01-10
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",1987-12-31
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2008-12-04
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31
BAC,Bank of America Corp,Financials,Banks,"Charlotte, North Carolina",1976-06-30
