symbol,date,composite_score
PFE,2015-12-31,0.4392305292
CTSH,2013-12-31,0.4826951619
NEE,2015-12-31,0.516164248
SPG,2013-12-31,0.4250440839
RRC,2012-12-31,0.4352731646
ANTM,2015-12-31,0.4501763959
TMK,2012-12-31,0.4705381621
BK,2012-12-31,0.4614154835
USB,2014-07-31,0.3844594026
CNC,2014-12-31,0.4113219605
HRS,2013-06-28,0.5210617087
EA,2014-03-31,0.4252162135
PFE,2015-12-31,0.4392361148
MA,2015-12-31,0.5278866427
USB,2014-07-31,0.3844594026
BWA,2013-12-31,0.2589580984
EIX,2015-12-31,0.4963000682
CHK,2012-12-31,0.4187700581
MTD,2013-12-31,0.4979988356
LYB,2015-12-31,0.4725378387
UHS,2015-12-31,0.4891606725
VFC,2013-12-31,0.190715941
NEM,2015-12-31,0.438710167
MTB,2012-12-31,0.47252165
IFF,2012-12-31,0.5181890354
CTXS,2015-12-31,0.4662951452
PCLN,2014-12-31,0.4133656083
WM,2015-12-31,0.4965548255
CELG,2013-12-31,0.432017522
EOG,2014-12-31,0.3564479363
DFS,2012-11-30,0.3619214244
CELG,2015-12-31,0.4651281549
ES,2014-12-31,0.4290092614
FLIR,2012-12-31,0.5130158187
EMR,2014-09-30,0.4675261368
JPM,2014-12-31,0.3990639821
UDR,2015-12-31,0.5240662989
PNR,2013-12-31,0.4333684164
HST,2012-12-31,0.4605693315
UPS,2013-12-31,0.524284592
EOG,2014-12-31,0.3564479363
ALL,2015-12-31,0.4767819107
ZBH,2013-12-31,0.4962585185
STI,2015-12-31,0.526403088
BIIB,2014-12-31,0.4336887028
JBHT,2013-12-31,0.4626807587
V,2014-09-30,0.5621769298
UHS,2012-12-31,0.4846946405
CMG,2013-12-31,0.5402972184
BHI,2014-12-31,0.3492649322
TMK,2015-12-31,0.492975951
REGN,2014-12-31,0.4774970821
BSX,2015-12-31,0.5115343366
TMK,2013-12-31,0.4556603033
ITW,2014-12-31,0.4898141551
TRV,2015-12-31,0.5128738804
EA,2015-03-31,0.6347860475
UDR,2015-12-31,0.5240662989
DAL,2015-12-31,0.5600734141
PCAR,2012-12-31,0.4921719101
GGP,2015-12-31,0.4904761404
O,2014-12-31,0.433042154
FLIR,2015-12-31,0.4813500054
EQIX,2014-12-31,0.4312721296
FRT,2015-12-31,0.4921180009
SEE,2014-12-31,0.4725513634
MA,2015-12-31,0.5278866427
YHOO,2013-12-31,0.5144752547
BLL,2014-12-31,0.4332486417
DVA,2012-12-31,0.4914476903
ETFC,2015-12-31,0.4856445125
REGN,2015-12-31,0.5397703531
CXO,2015-12-31,0.4380740096
PWR,2013-12-31,0.4556100224
MAC,2014-12-31,0.3818029155
WEC,2012-12-31,0.470910486
XRX,2012-12-31,0.4418233058
UAL,2013-12-31,0.4729243866
XEL,2014-12-31,0.4301844604
XYL,2014-12-31,0.4041440569
GT,2014-12-31,0.4066608627
BBT,2012-12-31,0.4404559498
CMI,2015-12-31,0.4289487538
JEC,2013-09-27,0.4130774814
HES,2013-12-31,0.4542392417
FMC,2013-12-31,0.4755266231
UPS,2014-12-31,0.4751599465
VRTX,2012-12-31,0.4094120911
HON,2013-12-31,0.4753299842
SCG,2013-12-31,0.3826753353
FAST,2013-12-31,0.5423235658
KMB,2015-12-31,0.5226426989
YHOO,2012-12-31,0.5006396578
MA,2013-12-31,0.569276607
HP,2015-09-30,0.3889870524
PSX,2014-12-31,0.304307006
JEC,2013-09-27,0.4130774814
C,2012-12-31,0.5338379504
MCK,2014-03-31,0.4797244626
VZ,2012-12-31,0.4696915351
WHR,2015-12-31,0.4414337356
EW,2013-12-31,0.4502604834
GGP,2015-12-31,0.4904761404
TSO,2013-12-31,0.4761733255
EQR,2015-12-31,0.5214052359
ESS,2012-12-31,0.4672102267
VZ,2015-12-31,0.5023281384
HON,2015-12-31,0.5104513942
SWKS,2014-10-03,0.5586717471
MTB,2015-12-31,0.4614160658
KEY,2014-09-30,0.3437108165
DD,2015-12-31,0.5387886867
HRB,2013-04-30,0.6219188341
RSG,2013-12-31,0.3747298557
TSO,2015-12-31,0.5007302749
BLL,2013-12-31,0.4744009709
AVY,2012-12-31,0.5020333493
NTRS,2012-12-31,0.4725781337
PEG,2015-12-31,0.4861667952
PNC,2012-12-31,0.4321105779
CNC,2015-12-31,0.4713521049
EQT,2015-12-31,0.4188114399
AJG,2014-12-31,0.4141662849
LOW,2015-01-30,0.3662771493
MUR,2012-12-31,0.4897564854
DNB,2013-12-31,0.4796979386
PBI,2015-12-31,0.5303899683
DAL,2013-12-31,0.4916471731
PFG,2015-12-31,0.442572766
EMN,2012-12-31,0.5059069023
CF,2014-12-31,0.4267353035
AJG,2013-12-31,0.4450765502
RRC,2014-12-31,0.2982564188
TMO,2013-12-31,0.4664352549
CLX,2015-06-30,0.5721816031
NEE,2015-12-31,0.5161841738
NFLX,2015-12-31,0.4477215088
PFE,2015-12-31,0.4392305292
HES,2014-12-31,0.296187405
SCG,2014-12-31,0.4637911978
JNPR,2014-12-31,0.4163934288
DG,2016-01-29,0.6104337439
PH,2014-06-30,0.4526031053
ADS,2013-12-31,0.4943285344
LNT,2012-12-31,0.4692490746
CXO,2014-12-31,0.2361250718
DVA,2014-12-31,0.4429088434
COF,2013-12-31,0.4460570933
UNP,2014-12-31,0.4494435463
COG,2013-12-31,0.4065613347
WY,2014-12-31,0.4446493405
CF,2015-12-31,0.4282823364
GLW,2014-12-31,0.4024732876
DVN,2013-12-31,0.3934360982
GGP,2013-12-31,0.4358255227
CVX,2012-12-31,0.4899229827
FBHS,2013-12-31,0.4497624768
LYB,2014-12-31,0.3480817537
ATVI,2013-12-31,0.4546993849
HP,2013-09-30,0.5187070995
MHK,2012-12-31,0.4866481645
EXPE,2013-12-31,0.464720082
COF,2015-12-31,0.4441854323
ZBH,2015-12-31,0.4990483955
AVB,2012-12-31,0.4607907502
MA,2013-12-31,0.569276607
AN,2014-12-31,0.4303472165
IP,2014-12-31,0.4400620654
ZION,2013-12-31,0.4496632325
PGR,2015-12-31,0.4890620767
AJG,2014-12-31,0.4139178123
MAR,2012-12-31,0.473129824
BXP,2012-12-31,0.4665844428
KMB,2015-12-31,0.5226426989
UHS,2015-12-31,0.4891606725
FISV,2012-12-31,0.5076551438
APA,2015-12-31,0.2782062702
AXP,2013-12-31,0.434503049
FAST,2014-12-31,0.5183948962
SCHW,2015-12-31,0.5125973334
AMGN,2013-12-31,0.4446133218
FSLR,2012-12-31,0.5066525831
ZION,2015-12-31,0.4753535164
RSG,2013-12-31,0.3747298557
TDG,2015-09-30,0.4954203628
CINF,2013-12-31,0.4641621418
CMG,2014-12-31,0.5028843207
BXP,2015-12-31,0.4905762244
BMY,2014-12-31,0.4558697226
VMC,2014-12-31,0.3995156025
MRK,2013-12-31,0.45038736
PWR,2015-12-31,0.4329582039
O,2015-12-31,0.5403889766
NWL,2014-12-31,0.4295086868
KMI,2014-12-31,0.4048010998
CNP,2015-12-31,0.4735349044
WYNN,2014-12-31,0.3346512717
PH,2014-06-30,0.4526031053
GPC,2015-12-31,0.4857484377
WU,2012-12-31,0.4442366694
HAS,2012-12-31,0.4824874292
PNR,2012-12-31,0.4771331791
OXY,2014-12-31,0.2944807587
CL,2015-12-31,0.5150713535
STI,2015-12-31,0.526403088
STX,2014-06-27,0.4949610042
XEC,2015-12-31,0.3504398337
KO,2015-12-31,0.5332153594
ES,2015-12-31,0.5013369327
GD,2013-12-31,0.4537376121
XL,2013-12-31,0.4448424754
CVX,2015-12-31,0.4498369289
LYB,2015-12-31,0.4725378387
TIF,2013-01-31,0.4926913497
PNC,2014-12-31,0.3868246869
DPS,2015-12-31,0.5278688283
LEN,2015-11-30,0.3894650718
BDX,2014-09-30,0.4536876064
MRO,2014-12-31,0.2841919788
PM,2015-12-31,0.5176199032
MCHP,2015-03-31,0.3677234899
FTR,2014-12-31,0.367963008
JPM,2015-12-31,0.4397890868
FLIR,2015-12-31,0.4813500054
PM,2013-12-31,0.5159267501
BXP,2012-12-31,0.466592949
MMC,2015-12-31,0.4850999986
AIV,2014-12-31,0.4169169405
EXPE,2013-12-31,0.464720082
HAR,2015-06-30,0.344443923
APA,2015-12-31,0.2782062702
AMZN,2015-12-31,0.5355888609
C,2015-12-31,0.5173040705
IRM,2013-12-31,0.4377272365
PCAR,2012-12-31,0.4921719101
PNW,2014-12-31,0.4354311531
NDAQ,2012-12-31,0.4802583332
CELG,2014-12-31,0.4116227438
IRM,2013-12-31,0.4377272365
XEC,2014-12-31,0.2948841609
NFX,2013-12-31,0.4223342879
DOV,2014-12-31,0.388729784
LNT,2013-12-31,0.4521950827
WAT,2012-12-31,0.505041866
ALB,2014-12-31,0.3308305715
TSN,2014-10-03,0.3867858511
PGR,2014-12-31,0.4284899304
MTB,2015-12-31,0.4614160658
XEL,2013-12-31,0.4525191209
MCO,2012-12-31,0.5376049122
SRCL,2012-12-31,0.5006526079
LVLT,2012-12-31,0.4929935312
GLW,2015-12-31,0.4472437813
BA,2015-12-31,0.4897298283
UHS,2013-12-31,0.4888858703
BXP,2014-12-31,0.4122408444
IVZ,2012-12-31,0.4815571376
ESS,2012-12-31,0.4672040539
RHT,2013-02-28,0.573003151
INTU,2013-07-31,0.6220508177
USB,2015-07-31,0.6321957938
JPM,2012-12-31,0.4331518991
ITW,2015-12-31,0.5172565447
BMY,2015-12-31,0.5162507757
XL,2012-12-31,0.4699766751
LNT,2014-12-31,0.4370659881
MAA,2015-12-31,0.5038931103
CELG,2015-12-31,0.4651281549
ADS,2012-12-31,0.4874102009
CVS,2014-12-31,0.491233907
BAX,2012-12-31,0.5039297051
BBT,2015-12-31,0.4669470487
FTR,2014-12-31,0.367963008
LLL,2014-12-31,0.4433280012
AON,2014-12-31,0.4340651453
DISCK,2014-12-31,0.3698403637
DG,2014-01-31,0.5702447044
MRO,2013-12-31,0.4583401525
AMP,2012-12-31,0.4455303319
FB,2015-12-31,0.6394012391
PG,2015-12-31,0.5264854332
MMC,2015-12-31,0.4850999986
NEE,2014-12-31,0.4212568186
NEE,2014-12-31,0.4212568186
SEE,2015-12-31,0.5176562265
DNB,2014-12-31,0.4359066534
TMK,2014-12-31,0.4111390143
BA,2015-12-31,0.4897298283
DISCK,2013-12-31,0.4695112522
NFLX,2015-12-31,0.4477215088
ROP,2012-12-31,0.490643111
ETFC,2013-12-31,0.474591878
BMY,2013-12-31,0.4728951977
AMZN,2015-12-31,0.5353686819
EXPE,2013-12-31,0.464720082
VRTX,2012-12-31,0.4094120911
BIIB,2013-12-31,0.4651666355
FLR,2014-12-31,0.2982717272
CMI,2014-12-31,0.4135639506
SLG,2015-12-31,0.5545872323
AEP,2014-12-31,0.4300555208
RRC,2013-12-31,0.3964960315
DGX,2013-12-31,0.432573635
AMZN,2015-12-31,0.5353686819
INTU,2013-07-31,0.6220508177
AME,2013-12-31,0.5012757256
XEC,2014-12-31,0.2948841609
FLIR,2012-12-31,0.5130158187
UHS,2013-12-31,0.4888858703
TMK,2013-12-31,0.4556603033
DISCK,2014-12-31,0.3698403637
CTSH,2012-12-31,0.5427793722
NWSA,2015-06-30,0.3610434549
CXO,2014-12-31,0.2361250718
KEY,2014-09-30,0.3437108165
WFC,2015-12-31,0.4561371701
MTD,2015-12-31,0.5135501165
MNST,2014-12-31,0.5679326575
HBAN,2013-12-31,0.469496229
KSU,2015-12-31,0.4404328039
MAA,2013-12-31,0.4133658168
USB,2014-07-31,0.3844594026
IRM,2015-12-31,0.4674262232
AEE,2012-12-31,0.4568537589
AYI,2015-08-31,0.6235863898
APC,2014-12-31,0.3190748753
FSLR,2014-12-31,0.291456366
ADM,2012-12-31,0.4422597502
NEM,2015-12-31,0.438710167
MAR,2015-12-31,0.492360741
HRS,2013-06-28,0.5210617087
SWKS,2013-09-27,0.5753458718
AEE,2014-12-31,0.424839828
SNI,2013-12-31,0.4957527351
SNI,2012-12-31,0.498302409
PX,2014-12-31,0.4318670699
HSY,2015-12-31,0.52840651
WDC,2013-06-28,0.4299319885
MMM,2014-12-31,0.4879532975
MCD,2013-12-31,0.4673942202
VLO,2015-12-31,0.4727329576
RRC,2013-12-31,0.3964960315
PEG,2012-12-31,0.4675787903
PSX,2013-12-31,0.4462080709
NUE,2015-12-31,0.4924439127
CAH,2014-06-30,0.3895359541
PRU,2012-12-31,0.4503280029
UDR,2013-12-31,0.4409517119
NEE,2012-12-31,0.4706561149
HCN,2012-12-31,0.4801181875
SEE,2013-12-31,0.4733908549
ISRG,2015-12-31,0.5448034917
AKAM,2014-12-31,0.4182021941
ADSK,2013-01-31,0.4470607164
NUE,2013-12-31,0.457985613
