symbol,rebalance_date,weight
AAL,2003-06-30,0.02
AAP,2003-06-30,0.02
AAPL,2003-06-30,0.02
ABBV,2003-06-30,0.02
ABC,2003-06-30,0.02
ABT,2003-06-30,0.02
ADBE,2003-06-30,0.02
ADI,2003-06-30,0.02
ADM,2003-06-30,0.02
ADS,2003-06-30,0.02
ADSK,2003-06-30,0.02
AEE,2003-06-30,0.02
AEP,2003-06-30,0.02
AFL,2003-06-30,0.02
AIG,2003-06-30,0.02
AIV,2003-06-30,0.02
AIZ,2003-06-30,0.02
AJG,2003-06-30,0.02
AKAM,2003-06-30,0.02
ALB,2003-06-30,0.02
ALK,2003-06-30,0.02
ALL,2003-06-30,0.02
ALLE,2003-06-30,0.02
ALXN,2003-06-30,0.02
AMAT,2003-06-30,0.02
AME,2003-06-30,0.02
AMG,2003-06-30,0.02
AMGN,2003-06-30,0.02
AMP,2003-06-30,0.02
AMT,2003-06-30,0.02
AMZN,2003-06-30,0.02
AN,2003-06-30,0.02
ANTM,2003-06-30,0.02
AON,2003-06-30,0.02
APA,2003-06-30,0.02
APC,2003-06-30,0.02
APD,2003-06-30,0.02
APH,2003-06-30,0.02
ARNC,2003-06-30,0.02
ATVI,2003-06-30,0.02
AVB,2003-06-30,0.02
AVGO,2003-06-30,0.02
AVY,2003-06-30,0.02
AWK,2003-06-30,0.02
AXP,2003-06-30,0.02
AYI,2003-06-30,0.02
AZO,2003-06-30,0.02
BA,2003-06-30,0.02
BAC,2003-06-30,0.02
BAX,2003-06-30,0.02
AAL,2004-06-30,0.02
AAP,2004-06-30,0.02
AAPL,2004-06-30,0.02
ABBV,2004-06-30,0.02
ABC,2004-06-30,0.02
ABT,2004-06-30,0.02
ADBE,2004-06-30,0.02
ADI,2004-06-30,0.02
ADM,2004-06-30,0.02
ADS,2004-06-30,0.02
ADSK,2004-06-30,0.02
AEE,2004-06-30,0.02
AEP,2004-06-30,0.02
AFL,2004-06-30,0.02
AIG,2004-06-30,0.02
AIV,2004-06-30,0.02
AIZ,2004-06-30,0.02
AJG,2004-06-30,0.02
AKAM,2004-06-30,0.02
ALB,2004-06-30,0.02
ALK,2004-06-30,0.02
ALL,2004-06-30,0.02
ALLE,2004-06-30,0.02
ALXN,2004-06-30,0.02
AMAT,2004-06-30,0.02
AME,2004-06-30,0.02
AMG,2004-06-30,0.02
AMGN,2004-06-30,0.02
AMP,2004-06-30,0.02
AMT,2004-06-30,0.02
AMZN,2004-06-30,0.02
AN,2004-06-30,0.02
ANTM,2004-06-30,0.02
AON,2004-06-30,0.02
APA,2004-06-30,0.02
APC,2004-06-30,0.02
APD,2004-06-30,0.02
APH,2004-06-30,0.02
ARNC,2004-06-30,0.02
ATVI,2004-06-30,0.02
AVB,2004-06-30,0.02
AVGO,2004-06-30,0.02
AVY,2004-06-30,0.02
AWK,2004-06-30,0.02
AXP,2004-06-30,0.02
AYI,2004-06-30,0.02
AZO,2004-06-30,0.02
BA,2004-06-30,0.02
BAC,2004-06-30,0.02
BAX,2004-06-30,0.02
AAL,2006-02-28,0.02
AAP,2006-02-28,0.02
AAPL,2006-02-28,0.02
ABBV,2006-02-28,0.02
ABC,2006-02-28,0.02
ABT,2006-02-28,0.02
ADBE,2006-02-28,0.02
ADI,2006-02-28,0.02
ADM,2006-02-28,0.02
ADS,2006-02-28,0.02
ADSK,2006-02-28,0.02
AEE,2006-02-28,0.02
AEP,2006-02-28,0.02
AFL,2006-02-28,0.02
AIG,2006-02-28,0.02
AIV,2006-02-28,0.02
AIZ,2006-02-28,0.02
AJG,2006-02-28,0.02
AKAM,2006-02-28,0.02
ALB,2006-02-28,0.02
ALK,2006-02-28,0.02
ALL,2006-02-28,0.02
ALLE,2006-02-28,0.02
ALXN,2006-02-28,0.02
AMAT,2006-02-28,0.02
AME,2006-02-28,0.02
AMG,2006-02-28,0.02
AMGN,2006-02-28,0.02
AMP,2006-02-28,0.02
AMT,2006-02-28,0.02
AMZN,2006-02-28,0.02
AN,2006-02-28,0.02
ANTM,2006-02-28,0.02
AON,2006-02-28,0.02
APA,2006-02-28,0.02
APC,2006-02-28,0.02
APD,2006-02-28,0.02
APH,2006-02-28,0.02
ARNC,2006-02-28,0.02
ATVI,2006-02-28,0.02
AVB,2006-02-28,0.02
AVGO,2006-02-28,0.02
AVY,2006-02-28,0.02
AWK,2006-02-28,0.02
AXP,2006-02-28,0.02
AYI,2006-02-28,0.02
AZO,2006-02-28,0.02
BA,2006-02-28,0.02
BAC,2006-02-28,0.02
BAX,2006-02-28,0.02
AAL,2007-02-28,0.02
AAP,2007-02-28,0.02
AAPL,2007-02-28,0.02
ABBV,2007-02-28,0.02
ABC,2007-02-28,0.02
ABT,2007-02-28,0.02
ADBE,2007-02-28,0.02
ADI,2007-02-28,0.02
ADM,2007-02-28,0.02
ADS,2007-02-28,0.02
ADSK,2007-02-28,0.02
AEE,2007-02-28,0.02
AEP,2007-02-28,0.02
AFL,2007-02-28,0.02
AIG,2007-02-28,0.02
AIV,2007-02-28,0.02
AIZ,2007-02-28,0.02
AJG,2007-02-28,0.02
AKAM,2007-02-28,0.02
ALB,2007-02-28,0.02
ALK,2007-02-28,0.02
ALL,2007-02-28,0.02
ALLE,2007-02-28,0.02
ALXN,2007-02-28,0.02
AMAT,2007-02-28,0.02
AME,2007-02-28,0.02
AMG,2007-02-28,0.02
AMGN,2007-02-28,0.02
AMP,2007-02-28,0.02
AMT,2007-02-28,0.02
AMZN,2007-02-28,0.02
AN,2007-02-28,0.02
ANTM,2007-02-28,0.02
AON,2007-02-28,0.02
APA,2007-02-28,0.02
APC,2007-02-28,0.02
APD,2007-02-28,0.02
APH,2007-02-28,0.02
ARNC,2007-02-28,0.02
ATVI,2007-02-28,0.02
AVB,2007-02-28,0.02
AVGO,2007-02-28,0.02
AVY,2007-02-28,0.02
AWK,2007-02-28,0.02
AXP,2007-02-28,0.02
AYI,2007-02-28,0.02
AZO,2007-02-28,0.02
BA,2007-02-28,0.02
BAC,2007-02-28,0.02
BAX,2007-02-28,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
F,2010-01-31,0.02
F,2010-01-31,0.02
F,2010-01-31,0.02
F,2010-01-31,0.02
F,2010-01-31,0.02
F,2010-01-31,0.02
F,2010-01-31,0.02
F,2010-01-31,0.02
F,2010-01-31,0.02
F,2010-01-31,0.02
F,2010-01-31,0.02
F,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
KEY,2010-01-31,0.02
KEY,2010-01-31,0.02
KEY,2010-01-31,0.02
KEY,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
BAC,2010-01-31,0.02
AAPL,2010-01-31,0.02
AAPL,2010-01-31,0.02
AAPL,2010-01-31,0.02
AAPL,2010-01-31,0.02
K,2010-01-31,0.02
K,2010-01-31,0.02
K,2010-01-31,0.02
K,2010-01-31,0.02
KIM,2010-01-31,0.02
KIM,2010-01-31,0.02
KIM,2010-01-31,0.02
KIM,2010-01-31,0.02
JEC,2010-01-31,0.02
JEC,2010-01-31,0.02
AAPL,2010-02-28,0.02
AAPL,2010-02-28,0.02
AAPL,2010-02-28,0.02
AAPL,2010-02-28,0.02
BAC,2010-02-28,0.02
BAC,2010-02-28,0.02
BAC,2010-02-28,0.02
BAC,2010-02-28,0.02
HRL,2010-02-28,0.02
HRL,2010-02-28,0.02
HRL,2010-02-28,0.02
HRL,2010-02-28,0.02
AAPL,2010-02-28,0.02
AAPL,2010-02-28,0.02
AAPL,2010-02-28,0.02
AAPL,2010-02-28,0.02
CLX,2010-02-28,0.02
CLX,2010-02-28,0.02
CLX,2010-02-28,0.02
CLX,2010-02-28,0.02
BAC,2010-02-28,0.02
BAC,2010-02-28,0.02
BAC,2010-02-28,0.02
BAC,2010-02-28,0.02
CSCO,2010-02-28,0.02
CSCO,2010-02-28,0.02
CSCO,2010-02-28,0.02
CSCO,2010-02-28,0.02
CB,2010-02-28,0.02
CB,2010-02-28,0.02
CB,2010-02-28,0.02
CB,2010-02-28,0.02
CAG,2010-02-28,0.02
CAG,2010-02-28,0.02
CAG,2010-02-28,0.02
CAG,2010-02-28,0.02
MO,2010-02-28,0.02
MO,2010-02-28,0.02
MO,2010-02-28,0.02
MO,2010-02-28,0.02
MO,2010-02-28,0.02
MO,2010-02-28,0.02
MO,2010-02-28,0.02
MO,2010-02-28,0.02
K,2010-02-28,0.02
K,2010-02-28,0.02
K,2010-02-28,0.02
K,2010-02-28,0.02
MO,2010-02-28,0.02
MO,2010-02-28,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
AAPL,2010-03-31,0.02
AAPL,2010-03-31,0.02
AAPL,2010-03-31,0.02
AAPL,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
AAPL,2010-03-31,0.02
AAPL,2010-03-31,0.02
AAPL,2010-03-31,0.02
AAPL,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
AAPL,2010-03-31,0.02
AAPL,2010-03-31,0.02
AAPL,2010-03-31,0.02
AAPL,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
BAC,2010-03-31,0.02
AAPL,2010-03-31,0.02
AAPL,2010-03-31,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
AAPL,2010-04-30,0.02
AAPL,2010-04-30,0.02
AAPL,2010-04-30,0.02
AAPL,2010-04-30,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
BAC,2010-04-30,0.02
AAPL,2010-04-30,0.02
